Boston ? B7, 1:41 PM (479)
Boston ? B6, 2:14 PM (574)
Boston ? B10, 3:57 PM (575)
Boston ? A29, 8:48 PM (527)
Boston ? B13, 9:48 PM (504)
B29 ? Boston, 2:35 PM (411)                                                                                    
B2 ? Boston, 3:01 PM (572)
T5 ? Boston, 3:43 PM (422)
A31 ? Boston, 5:37 PM (333)
A18 ? Boston, 9:30 PM (535)
Buffalo ? A31, 3:36 PM (2516)
Buffalo ? B12, 9:10 PM (2739)
B31 ? Buffalo, 10:02 AM (2516)
B14 ? Buffalo, 3:58 PM (2739)
A19 ? Buffalo, 9:22 PM (2680)
LGA ? A26, 10:16 AM (506)
LGA ? B18, 11:04 AM (566)
LGA ? T7, 2:04 PM (308)
LGA ? B21, 2:10 PM (322)
LGA ? B29, 3:13 PM (529)
LGA ? T4, 5:12 PM (507)
LGA ? T3, 7:17 PM (490)
LGA ? B5, 7:24 PM (414)
LGA ? C50, 11:20 PM (492)
LGA ? E16, 11:14 PM (349)
A4 ? LGA, 8:20 AM (379) (contiguous with flight 308 back to ATL via gate C41 in LGA)
A3 ? LGA, 8:28 AM (526) (contiguous with flight 322 back to ATL via gate D10 in LGA)
B25 ? LGA, 8:59 AM (569)
B28 ? LGA, 10:41 AM (470)
A29 ? LGA, 1:30 PM (549)
T6 ? LGA, 1:41 PM (431)
T2 ? LGA, 3:05 PM (494)
B29 ? LGA, 5:16 PM (571)                                                                   *************
T4 ? LGA, 7:27 PM (446)
B26 ? LGA, 8:25 PM (500)
B23 ? LGA, 10:15 PM (505)
B6 ? JFK, 9:43 PM (517)
Pittsburgh ? B3, 7:39 AM (2161)
Pittsburgh ? B7, 8:57 AM (1701)
Pittsburgh ? B24, 3:44 PM (2128)
Pittsburgh ? B23, 8:10 PM (1606)
B21 ? Pittsburgh, 10:47 AM (2128)
B27 ? Pittsburgh, 3:33 PM (1487)
A18 ? Pittsburgh, 5:54 PM (1679)
A30 ? Pittsburgh, 10:45 PM (1683)
DCA ? B36, 11:36 AM (2660)
DCA ? T5, 1:57 PM (538)
DCA ? B13, 2:40 PM (306)
DCA ? B36, 5:01 PM (418)						   *************
DCA ? A33, 9:34 PM (361)
A5 ? DCA, 9:07 AM (538)
T3 ? DCA, 10:05 AM (306)
B3 ? DCA, 12:11 PM (418)
T7 ? DCA, 4:58 PM (361)
B11 ? DCA, 6:23 PM (534)
A19 ? DCA, 7:20 PM (513)
Dulles ? B36, 9:58 AM (1434)
B36 ? Dulles, 6:32 PM (2228)
Norfolk ? B10, 7:24 AM (1453)
Norfolk ? B27, 12:55 PM (1243)
Norfolk ? B14, 2:27 PM (2294)
Norfolk ? B33, 4:43 PM (2223)
Norfolk ? B32, 7:49 PM (2900)					********************
B7 ? Norfolk, 9:58 AM (2294)
B32 ? Norfolk, 12:25 PM (2223)
B21 ? Norfolk, 3:23 PM (2900)
B9 ? Norfolk, 6:36 PM (1629)
B36 ? Norfolk, 10:37 PM (1626)
Savannah ? B9, 6:56 AM (2917)
Savannah ? B14, 8:20 AM (2663)
Savannah ? B16, 1:33 PM (1537)
Savannah ? B26, 6:20 PM (2804)
A15 ? Savannah, 10:09 AM (1537)
B26 ? Savannah, 3:11 PM (2804)
B26 ? Savannah, 6:03 PM (2443)
B32 ? Savannah, 10:45 PM (1573)
West Palm Beach ? B25, 7:31 AM (1298)
West Palm Beach ? A27, 8:46 AM (2337)
West Palm Beach ? B27, 9:32 AM (1571)
West Palm Beach ? T5, 10:47 AM (1496)
West Palm Beach ? B31, 1:19 PM (2958)
West Palm Beach ? B16, 3:50 PM (1419)
West Palm Beach ? B14, 5:31 PM (2945)
West Palm Beach ? A18, 7:41 PM (1514)
West Palm Beach ? A30, 9:06 PM (2322)
B10 ? West Palm Beach, 8:43 AM (2958)
B36 ? West Palm Beach, 11:02 AM (1419)
B18 ? West Palm Beach, 12:19 PM (2945)
T7 ? West Palm Beach, 3:22 PM (1514)
B13 ? West Palm Beach, 4:33 PM (2322)
